x,y,z
691043.0262140424,5335981.765883868,-24
691043.1686932578,5335982.131219289,-24
691043.3110944916,5335982.496343013,-24
691043.4549542834,5335982.865194809,-24
691043.5997850203,5335983.236524334,-24
691043.7445134881,5335983.607580065,-24
691043.8891324918,5335983.978343758,-24
691044.0336348371,5335984.348797174,-24
691044.1780133292,5335984.718922069,-24
691044.322260773,5335985.088700201,-24
691044.4663699743,5335985.45811333,-24
691044.6103337382,5335985.827143212,-24
691044.7541448697,5335986.195771607,-24
691044.8977961746,5335986.563980272,-24
691045.0412804581,5335986.931750965,-24
691045.1845905253,5335987.299065445,-24
691045.3277191815,5335987.665905469,-24
691045.4706592322,5335988.032252797,-24
691045.6134034827,5335988.398089186,-24
691045.755944738,5335988.7633963935,-24
691045.8982758038,5335989.128156179,-24
691046.0403894851,5335989.492350299,-24
691046.1822785871,5335989.855960513,-24
691046.3239359156,5335990.21896858,-24
691046.4653542754,5335990.581356256,-24
691046.606526472,5335990.943105301,-24
691046.7474453108,5335991.30419747,-24
691046.8881035969,5335991.664614526,-24
691047.0284941357,5335992.024338223,-24
691047.1686097326,5335992.383350322,-24
691047.308447836,5335992.741644476,-24
691047.456314184,5335993.1205012845,-24
691047.603847058,5335993.498496305,-24
691047.7510378958,5335993.875607831,-24
691047.8978781357,5335994.251814152,-24
691048.0443592158,5335994.627093561,-24
691048.1904725741,5335995.001424349,-24
691048.336209649,5335995.374784808,-24
691048.4815618785,5335995.74715323,-24
691048.6265207006,5335996.118507906,-24
691048.7710775537,5335996.488827129,-24
691048.915223876,5335996.858089191,-24
691049.0589511052,5335997.226272382,-24
691049.2022506798,5335997.593354995,-24
691049.3451140379,5335997.959315321,-24
691049.4875326175,5335998.324131654,-24
691049.6294978568,5335998.687782283,-24
691049.7710011941,5335999.0502455,-24
691049.9120340673,5335999.411499599,-24
691050.0525879147,5335999.771522869,-24
691050.1926541744,5336000.130293604,-24
691050.3322242843,5336000.487790096,-24
691050.4712896829,5336000.843990634,-24
691050.6098418082,5336001.198873512,-24
691050.7478720983,5336001.552417023,-24
691050.8853719914,5336001.904599455,-24
691051.0223329258,5336002.255399103,-24
691051.1733219612,5336002.642126625,-24
691051.324169718,5336003.028489967,-24
691051.4743181075,5336003.413059997,-24
691051.6237553863,5336003.795806942,-24
691051.7724698103,5336004.176701024,-24
691051.9204496358,5336004.555712467,-24
691052.0676831186,5336004.932811496,-24
691052.2141585151,5336005.307968332,-24
691052.3598640813,5336005.681153203,-24
691052.5047880735,5336006.052336331,-24
691052.6489187476,5336006.42148794,-24
